no;testno;brand;model;power_l;matt;dim;color_l;lm_l;eq_l;ra_l;u;pf_l;angle_l;life;war;prod;w;d;h;t;barcode;plant;importer;base;shape;type;type2;url;shop;rub;usd;p;pf;lm;color;cri;r9;Rf;Rg;Duv;flicker230;flicker220;flicker207;flicker;angle;switch;umin;drv;tmax;date;instruments;add2;add3;add4;add5;cqs;eq;rating;lamp_image;lamp_desc
3649;3649;HIKO;QH05 LED/C37/7E14/3000;7;1;;3000;480;60;90;210-250;;180;30000;36;0819;19;36;99;;2010003245573;Guangzhou Qianghui Lighting;;E14;Candle;LED;;https://stroygigant.ru/catalog/search?q=%D0%BB%D0%B0%D0%BC%D0%BF%D0%B0+hiko;;79;;5.95;57;556;3046;82.2;5;82;94;0.0005;8.6;;;8.6;;1;224;4;;11.08.2020;2232010000;;;;;;60;4.5;03649-hiko-qh05-led-c37-7e14-3000;Candle 480Lm 7W 3000K M E14
3650;3650;HIKO;QH06 LED/C37/7E14/4000;7;1;;4000;480;60;90;210-250;;180;30000;36;0819;18;36;99;;2010003245580;Guangzhou Qianghui Lighting;;E14;Candle;LED;;https://stroygigant.ru/catalog/search?q=%D0%BB%D0%B0%D0%BC%D0%BF%D0%B0+hiko;;79;;6.01;56;577;3888;82.8;7;82;94;0.0015;7.7;;;7.7;;1;224;4;;11.08.2020;2232010000;;;;;;60;4.5;03650-hiko-qh06-led-c37-7e14-4000;Candle 480Lm 7W 4000K M E14
3651;3651;HIKO;QH06 LED/C37/7E14/4000;7;1;;4000;480;60;90;210-250;;180;30000;36;0819;18;37;99;;2010003245580;Guangzhou Qianghui Lighting;;E14;Candle;LED;;https://stroygigant.ru/catalog/search?q=%D0%BB%D0%B0%D0%BC%D0%BF%D0%B0+hiko;;79;;5.98;56;569;3945;82.4;5;82;94;0.0017;7.3;;;7.3;;1;224;4;;11.08.2020;2232010000;;;;;;60;4.5;03651-hiko-qh06-led-c37-7e14-4000;Candle 480Lm 7W 4000K M E14
3652;3652;HIKO;QH13 LED/7GU5.3/3000;7;1;;3000;480;60;90;210-250;;120;30000;36;0819;18;49;47;;2010003245696;Guangzhou Qianghui Lighting;;GU5.3;Spot;LED;;https://stroygigant.ru/catalog/search?q=%D0%BB%D0%B0%D0%BC%D0%BF%D0%B0+hiko;;79;;5.97;57;491;3032;82.8;9;82;94;-0.0015;7.8;;;7.8;;1;224;4;;11.08.2020;2232010000;;;;;;55;4.5;03652-hiko-qh13-led-7gu53-3000;Spot 480Lm 7W 3000K M GU5.3
3653;3653;HIKO;QH13 LED/7GU5.3/3000;7;1;;3000;480;60;90;210-250;;120;30000;36;0819;18;49;47;;2010003245696;Guangzhou Qianghui Lighting;;GU5.3;Spot;LED;;https://stroygigant.ru/catalog/search?q=%D0%BB%D0%B0%D0%BC%D0%BF%D0%B0+hiko;;79;;5.92;57;489;3018;82;6;82;94;-0.0012;9.4;;;9.4;;1;224;4;;11.08.2020;2232010000;;;;;;55;4.5;03653-hiko-qh13-led-7gu53-3000;Spot 480Lm 7W 3000K M GU5.3
3654;3654;HIKO;QH14 LED/7GU5.3/4000;7;1;;4000;480;60;90;210-250;;120;30000;36;0819;18;49;47;;2010003245702;Guangzhou Qianghui Lighting;;GU5.3;Spot;LED;;https://stroygigant.ru/catalog/search?q=%D0%BB%D0%B0%D0%BC%D0%BF%D0%B0+hiko;;79;;5.97;57;545;3915;82.7;6;82;94;0.0015;9.5;;;9.5;;1;224;4;;11.08.2020;2232010000;;;;;;60;4.5;03654-hiko-qh14-led-7gu53-4000;Spot 480Lm 7W 4000K M GU5.3
3655;3655;HIKO;QH14 LED/7GU5.3/4000;7;1;;4000;480;60;90;210-250;;120;30000;36;0819;18;49;47;;2010003245702;Guangzhou Qianghui Lighting;;GU5.3;Spot;LED;;https://stroygigant.ru/catalog/search?q=%D0%BB%D0%B0%D0%BC%D0%BF%D0%B0+hiko;;79;;6.04;57;534;3894;82.9;7;82;94;0.0017;6.7;;;6.7;;1;224;4;;11.08.2020;2232010000;;;;;;55;4.5;03655-hiko-qh14-led-7gu53-4000;Spot 480Lm 7W 4000K M GU5.3
3656;3656;Auchan;721629;15;1;;5000;1350;91;;220-240;;200;15000;;0918;101;60;121;;3245676517279;Elite China Industries;;E27;Bulb;LED;;;;;;13.93;94;1412;5039;84.1;11;83;95;0.0049;5.2;;;5.2;;1;188;1;;11.08.2020;2232010000;;;;;;120;4.5;03656-auchan-721629;Bulb 1350Lm 15W 5000K M E27
3657;3657;noname;DIY LED U-Home CL-30W;30;0;;5500;3000;;95;85-265;;;30000;;;318;76;190;;;;Ашан;E27;Corn;LED;;http://ali.pub/501x13;;;30.4;28.97;55;2813;5668;95.7;89;95;104;0.0048;0.3;;;0.3;;1;92;1;;11.08.2020;2232010000;;;;;;190;4.9;03657-diy-led-u-home-cl-30w;Corn 3000Lm 30W 5500K E27
3658;3658;noname;DIY LED U-Home CL-40W;40;0;;5500;4000;;95;85-265;;;30000;;;416;46;230;;;;;E27;Corn;LED;;http://ali.pub/501wwm;;;39.2;38.55;55;4128;5753;97.6;96;96;102;0.0065;0.2;;;0.2;;1;89;1;;11.08.2020;2232010000;;;;;;270;5.0;03658-diy-led-u-home-cl-40w;Corn 4000Lm 40W 5500K E27
3659;3659;Remez;RZ-105-A60-E27-12W-3K;12;1;;3000;800;75;95;175-265;;200;30000;60;0520;51;60;125;;4620039351636;Shanghai Wellmax Lighting;;E27;Bulb;LED;;https://remezlight.com/;;655;;11.38;50;765;2889;96.7;94;94;104;-0.0031;0.2;;;0.2;;1;120;1;;31.08.2020;2232010000;;;;;;75;5.0;03659-remez-rz-105-a60-e27-12w-3k;Bulb 800Lm 12W 3000K M E27
3660;3660;Remez;RZ-105-A60-E27-12W-3K;12;1;;3000;800;75;95;175-265;;200;30000;60;0520;51;60;125;;4620039351636;Shanghai Wellmax Lighting;;E27;Bulb;LED;;https://remezlight.com/;;655;;11.44;50;761;2905;96.7;93;95;104;-0.002;0.1;;;0.1;;1;122;1;;31.08.2020;2232010000;;;;;;75;5.0;03660-remez-rz-105-a60-e27-12w-3k;Bulb 800Lm 12W 3000K M E27
3661;3661;Remez;RZ-106-A60-E27-12W-4K;12;1;;4100;800;75;95;175-265;;200;30000;60;0520;52;60;125;;4620039351643;Shanghai Wellmax Lighting;;E27;Bulb;LED;;https://remezlight.com/;;655;;11.27;50;759;3879;97;98;97;102;-0.0003;0.2;;;0.2;;1;122;1;;31.08.2020;2232010000;;;;;;75;4.9;03661-remez-rz-106-a60-e27-12w-4k;Bulb 800Lm 12W 4100K M E27
3662;3662;Remez;RZ-106-A60-E27-12W-4K;12;1;;4100;800;75;95;175-265;;200;30000;60;0520;52;60;125;;4620039351643;Shanghai Wellmax Lighting;;E27;Bulb;LED;;https://remezlight.com/;;655;;11.23;50;801;3875;97.1;98;97;102;-0.0008;0.2;;;0.2;;1;111;1;;31.08.2020;2232010000;;;;;;75;5.0;03662-remez-rz-106-a60-e27-12w-4k;Bulb 800Lm 12W 4100K M E27
3663;3663;Remez;RZ-117-G45-E27-7W-3K;7;1;;3000;455;40;95;175-265;;200;30000;60;0520;27;47;89;;4620039351667;Shanghai Wellmax Lighting;;E27;G45;LED;;https://remezlight.com/;;399;;6.41;53;405;2922;96.8;93;95;103;-0.0021;0.3;;;0.3;;1;111;1;;31.08.2020;2232010000;;;;;;45;4.8;03663-remez-rz-117-g45-e27-7w-3k;G45 455Lm 7W 3000K M E27
3664;3664;Remez;RZ-117-G45-E27-7W-3K;7;1;;3000;455;40;95;175-265;;200;30000;60;0520;27;47;89;;4620039351667;Shanghai Wellmax Lighting;;E27;G45;LED;;https://remezlight.com/;;399;;6.45;53;407;2906;96.7;94;95;104;-0.0024;0.4;;;0.4;;1;112;1;;31.08.2020;2232010000;;;;;;45;4.8;03664-remez-rz-117-g45-e27-7w-3k;G45 455Lm 7W 3000K M E27
3665;3665;Remez;RZ-118-G45-E27-7W-4K;7;1;;4100;455;40;95;175-265;;200;30000;60;0520;27;47;89;;4620039351674;Shanghai Wellmax Lighting;;E27;G45;LED;;https://remezlight.com/;;399;;6.46;54;440;3895;97.3;98;97;102;-0.0005;0.2;;;0.2;;1;112;1;;31.08.2020;2232010000;;;;;;50;5.0;03665-remez-rz-118-g45-e27-7w-4k;G45 455Lm 7W 4100K M E27
3666;3666;Remez;RZ-118-G45-E27-7W-4K;7;1;;4100;455;40;95;175-265;;200;30000;60;0520;27;47;89;;4620039351674;Shanghai Wellmax Lighting;;E27;G45;LED;;https://remezlight.com/;;399;;6.51;53;441;3938;97.7;97;97;101;0.0001;0.3;;;0.3;;1;113;1;;31.08.2020;2232010000;;;;;;50;5.0;03666-remez-rz-118-g45-e27-7w-4k;G45 455Lm 7W 4100K M E27
3667;3667;Remez;RZ-122-G45-E14-7W-4K;7;1;;4100;455;40;95;175-265;;200;30000;60;0520;25;47;90;;4620039351650;Shanghai Wellmax Lighting;;E14;G45;LED;;https://remezlight.com/;;399;;6.57;53;461;3891;97.9;97;98;101;0.0005;0.3;;;0.3;;1;113;1;;31.08.2020;2232010000;;;;;;50;5.0;03667-remez-rz-122-g45-e14-7w-4k;G45 455Lm 7W 4100K M E14
3668;3668;Remez;RZ-122-G45-E14-7W-4K;7;1;;4100;455;40;95;175-265;;200;30000;60;0520;26;47;90;;4620039351650;Shanghai Wellmax Lighting;;E14;G45;LED;;https://remezlight.com/;;399;;6.46;54;433;3943;97;98;97;102;-0.0011;0.3;;;0.3;;1;113;1;;31.08.2020;2232010000;;;;;;50;5.0;03668-remez-rz-122-g45-e14-7w-4k;G45 455Lm 7W 4100K M E14
3669;3669;Remez;RZ-119-PAR16-GU10-7W-3K;7;0;;3000;455;50;95;175-265;;38;30000;60;0520;33;50;54;;4620039351681;Shanghai Wellmax Lighting;;GU10;Spot;LED;;https://remezlight.com/;;435;;6.52;52;431;2917;96.4;95;94;104;-0.002;0.3;;;0.3;;1;111;1;;31.08.2020;2232010000;;;;;;50;4.9;03669-remez-rz-119-par16-gu10-7w-3k;Spot 455Lm 7W 3000K GU10
3670;3670;Remez;RZ-119-PAR16-GU10-7W-3K;7;0;;3000;455;50;95;175-265;;38;30000;60;0520;33;50;54;;4620039351681;Shanghai Wellmax Lighting;;GU10;Spot;LED;;https://remezlight.com/;;435;;6.54;52;437;2918;96.6;95;94;104;-0.0018;0.3;;;0.3;;1;111;1;;31.08.2020;2232010000;;;;;;50;5.0;03670-remez-rz-119-par16-gu10-7w-3k;Spot 455Lm 7W 3000K GU10
3671;3671;Remez;RZ-120-PAR16-GU10-7W-4K;7;0;;4100;455;50;95;175-265;;38;30000;60;0520;32;50;54;;4620039351698;Shanghai Wellmax Lighting;;GU10;Spot;LED;;https://remezlight.com/;;435;;6.54;52;475;3843;97.9;96;97;102;0.0003;0.3;;;0.3;;1;113;1;;31.08.2020;2232010000;;;;;;55;5.0;03671-remez-rz-120-par16-gu10-7w-4k;Spot 455Lm 7W 4100K GU10
3672;3672;Remez;RZ-120-PAR16-GU10-7W-4K;7;0;;4100;455;50;95;175-265;;38;30000;60;0520;33;50;54;;4620039351698;Shanghai Wellmax Lighting;;GU10;Spot;LED;;https://remezlight.com/;;435;;6.51;52;481;3860;97.6;98;98;102;0.0003;0.3;;;0.3;;1;113;1;;31.08.2020;2232010000;;;;;;55;5.0;03672-remez-rz-120-par16-gu10-7w-4k;Spot 455Lm 7W 4100K GU10
3673;3673;Remez;RZ-125-GX53-12W-3K;12;1;;3000;800;75;95;175-265;;120;30000;60;0520;54;74;27;;4620039351704;Shanghai Wellmax Lighting;;GX53;Spot;LED;;https://remezlight.com/;;735;;11.31;53;604;2903;95.9;96;94;104;-0.002;0.4;;;0.4;;1;119;1;;31.08.2020;2232010000;;;;;;65;4.5;03673-remez-rz-125-gx53-12w-3k;Spot 800Lm 12W 3000K M GX53
3674;3674;Remez;RZ-125-GX53-12W-3K;12;1;;3000;800;75;95;175-265;;120;30000;60;0520;54;74;27;;4620039351704;Shanghai Wellmax Lighting;;GX53;Spot;LED;;https://remezlight.com/;;735;;11.32;52;599;2943;95.7;97;94;105;-0.0019;0.3;;;0.3;;1;118;1;;31.08.2020;2232010000;;;;;;60;4.4;03674-remez-rz-125-gx53-12w-3k;Spot 800Lm 12W 3000K M GX53
3675;3675;Remez;RZ-126-GX53-12W-4K;12;1;;4100;800;75;95;175-265;;120;30000;60;0520;54;74;27;;4620039351711;Shanghai Wellmax Lighting;;GX53;Spot;LED;;https://remezlight.com/;;735;;11.33;52;647;3954;95.8;93;97;103;-0.0005;0.2;;;0.2;;1;118;1;;31.08.2020;2232010000;;;;;;65;4.7;03675-remez-rz-126-gx53-12w-4k;Spot 800Lm 12W 4100K M GX53
3676;3676;Remez;RZ-126-GX53-12W-4K;12;1;;4100;800;75;95;175-265;;120;30000;60;0520;54;74;27;;4620039351711;Shanghai Wellmax Lighting;;GX53;Spot;LED;;https://remezlight.com/;;735;;11.24;53;642;3900;96.1;96;97;103;-0.0007;0.2;;;0.2;;1;117;1;;31.08.2020;2232010000;;;;;;65;4.7;03676-remez-rz-126-gx53-12w-4k;Spot 800Lm 12W 4100K M GX53
3677;3677;LED Свет;DC013;10;1;;4500;640;70;;220-240;;270;25000;12;1219;22;37;106;;2000774605010;Foshan Smart Energy ;;E14;Candle;LED;;;;55;;5.75;45;384;9836;77.6;7;72;95;-0.0039;0.3;;;0.3;;2;108;1;;31.08.2020;2232010000;;;;;;45;3.4;03677-led-svet-dc013;Candle 640Lm 10W 4500K M E14
3678;3678;Эра;SPB-6 Паутина 12-4K (B) LM/1;12;1;;4000;900;96;80;220;;;50000;24;0919;252;257;257;80;5056306041266;ATL;;no;Lamp;LED;;http://eraworld.ru;;538;;11.67;45;1045;3943;80.8;0;82;96;0.0033;0.3;;;0.3;;1;116;1;;31.08.2020;2232010000;;;;;;90;4.5;03678-era-spb-6-pautina-12-4k-b-lm-1;Lamp 900Lm 12W 4000K M
3679;3679;Эра;SPB-6 Паутина 24-4K (B) LM/1;24;1;;4000;1700;192;80;220;;;50000;24;1119;505;400;400;96;5056306041280;ATL;;no;Lamp;LED;;http://eraworld.ru;;715;;21.87;45;1875;3877;82;3;82;95;0.0031;0.3;;;0.3;;1;140;1;;31.08.2020;2232010000;;;;;;150;4.5;03679-era-spb-6-pautina-24-4k-b-lm-1;Lamp 1700Lm 24W 4000K M
3680;3680;Bellight;LED Fixture T5 PL 8W 3000K;8;1;;3000;640;;;220-240;;270;15000;12;1119;79;571;23;32;5903089805939;HANGZHOU GOWIN PHOTOELECTRICITY;;no;Lamp;LED;;http://bel-light.pl/;;247;;7.41;51;679;3060;71.6;-33;72;93;-0.0007;0.3;;;0.3;;1;106;1;;31.08.2020;2232010000;;;;;;70;3.5;03680-bellight-led-fixture-t5-pl-8w-3000k;Lamp 640Lm 8W 3000K M
3681;3681;Bellight;LED Fixture T5 PL 12W 3000K;12;1;;3000;960;;;220-240;;270;15000;12;1119;113;872;23;32;5903089805953;HANGZHOU GOWIN PHOTOELECTRICITY;;no;Lamp;LED;;http://bel-light.pl/;;294;;12.05;53;1045;3060;71.5;-32;72;94;-0.0007;0;;;0;;1;125;1;;31.08.2020;2232010000;;;;;;90;3.5;03681-bellight-led-fixture-t5-pl-12w-3000k;Lamp 960Lm 12W 3000K M
3682;3682;Wolta;WLFS18W03;18;1;;4000;1500;;70;220-240;0.6;120;15000;24;0719;157;592;61;24;4260529294564;Zhongshan Diwa Lighting;;no;Lamp;LED;;http://www.wolta.ru;;288;;18.8;48;1546;3963;71.8;-27;71;95;0.0028;0.4;;;0.4;;1;113;1;;31.08.2020;2232010000;;;;;;135;3.5;03682-wolta-wlfs18w03;Lamp 1500Lm 18W 4000K M
3683;3683;Gauss;126411308;8;1;;6500;700;75;70;160-260;0.5;120;35000;24;1019;122;140;54;;4627128375160;HANGZHOU YIDENG LIGHTING;;no;Lamp;LED;;https://gauss.ru;;288;;9.08;47;840;6409;73.1;-20;71;95;0.0039;0.3;;;0.3;;1;115;1;;31.08.2020;2232010000;;;;;;80;3.5;03683-gauss-126411308;Lamp 700Lm 8W 6500K M
3684;3684;Gauss;Smart 1070112 DIM;10;1;1;2700;1055;;80;220-240;;180;15000;24;0520;50;60;120;;4630032973346;Ningbo Klite Electric Manufacture;;E27;Bulb;LED;SM;https://gauss.ru;;1090;;10.22;51;974;2695;81.8;4;83;95;;0;;;0;;1;212;4;;31.08.2020;2232010000;Управляется и диммируется по Wi-Fi;;;;;85;4.4;03684-gauss-smart-1070112-dim;Bulb 1055Lm 10W 2700K M D E27
3685;3685;Gauss;Smart 1180112 DIM CCT+COLOR;10;1;1;;1055;;80;220-240;;180;15000;24;1219;57;60;119;;4630032973360;Ningbo Klite Electric Manufacture;;E27;Bulb;LED;SM;https://gauss.ru;;1390;;9.86;52;965;2684;82.1;5;83;95;;0.3;;;0.3;;1;213;4;;31.08.2020;2232010000;Управляется и диммируется по Wi-Fi, меняет цветовую температуру и цвет;;;;;85;4.4;03685-gauss-smart-1180112-dim-cct-color;Bulb 1055Lm 10W M D E27
3686;3686;Gauss;Smart 1080112 DIM CCT;10;1;1;;1055;;80;220-240;;180;15000;24;1219;54;60;120;;4630032973353;Ningbo Klite Electric Manufacture;;E27;Bulb;LED;SM;https://gauss.ru;;1390;;9.71;50;935;2691;82.1;4;83;94;;0.3;;;0.3;;1;211;4;;31.08.2020;2232010000;Управляется и диммируется по Wi-Fi, меняет цветовую температуру;;;;;85;4.3;03686-gauss-smart-1080112-dim-cct;Bulb 1055Lm 10W M D E27
3687;3687;Gauss;Smart 1220112 DIM CCT;6.5;0;1;;806;;80;220-240;;360;20000;24;0520;40;61;105;;4630032973469;Zhejiang Klite Lighting Holdings;;E27;Bulb;LED;SM;https://gauss.ru;;1590;;6.35;57;679;2221;81;7;83;96;;0.5;;;0.5;;1;217;4;;31.08.2020;2232010000;Управляется и диммируется по Wi-Fi, меняет цветовую температуру;;;;;70;4.3;03687-gauss-smart-1220112-dim-cct;Bulb 806Lm 6.5W D E27
3688;3688;Gauss;Smart 1290112 DIM;7;0;1;2500;740;;80;220-240;;360;20000;24;0520;51;65;140;;4630032973537;Zhejiang Klite Lighting Holdings;;E27;Bulb;LED;SM;https://gauss.ru;;1590;;6.96;53;641;2410;80.5;3;82;96;;3.9;;;3.9;;1;225;4;;31.08.2020;2232010000;Управляется и диммируется по Wi-Fi;;;;;65;4.3;03688-gauss-smart-1290112-dim;Bulb 740Lm 7W 2500K D E27
3689;3689;Gauss;Smart 1190112 DIM CCT+COLOR;5;1;1;;470;;80;220-240;;240;15000;24;1219;32;39;114;;4630032973391;Ningbo Klite Electric Manufacture;;E14;Candle;LED;SM;https://gauss.ru;;1350;;5.03;53;482;2698;81.8;4;82;94;;0;;;0;;1;211;4;;31.08.2020;2232010000;Управляется и диммируется по Wi-Fi, меняет цветовую температуру и цвет;;;;;55;4.5;03689-gauss-smart-1190112-dim-cct-color;Candle 470Lm 5W M D E14
3690;3690;Polaroid;30415366 PL-A11028273;28;1;;3000;2400;148;80;220-240;;;25000;24;0720;151;110;207;;4603752028498;Luckface International Trading;;E27;Bulb;LED;;;;499;;30.01;62;2492;2989;83.2;12;84;96;0.0014;0;;;0;;1;200;1;;11.11.2020;2232010000;;;;;;180;4.5;03690-polaroid-30415366-pl-a11028273;Bulb 2400Lm 28W 3000K M E27
3691;3691;Polaroid;30415366 PL-A11028273;28;1;;3000;2400;148;80;220-240;;;25000;24;0720;152;110;207;;4603752028498;Luckface International Trading;;E27;Bulb;LED;;;;499;;29.81;59;2497;2986;83.3;12;84;96;0.0014;0.1;;;0.1;;1;200;1;;11.11.2020;2232010000;;;;;;180;4.5;03691-polaroid-30415366-pl-a11028273;Bulb 2400Lm 28W 3000K M E27
3692;3692;Polaroid;30415363 PL-A9522273;22;1;;3000;2000;126;80;220-240;;;25000;24;0720;100;95;178;;4603752028467;Luckface International Trading;;E27;Bulb;LED;;;;400;;23.33;56;1941;2957;82.2;6;83;96;-0.0023;0.1;;;0.1;;1;190;1;;11.11.2020;2232010000;;;;;;160;4.5;03692-polaroid-30415363-pl-a9522273;Bulb 2000Lm 22W 3000K M E27
3693;3693;Polaroid;30415363 PL-A9522273;22;1;;3000;2000;126;80;220-240;;;25000;24;0720;100;95;178;;4603752028467;Luckface International Trading;;E27;Bulb;LED;;;;400;;23.25;56;1963;2953;82.4;7;83;96;-0.0023;0;;;0;;1;191;1;;11.11.2020;2232010000;;;;;;160;4.5;03693-polaroid-30415363-pl-a9522273;Bulb 2000Lm 22W 3000K M E27
3694;3694;Polaroid;30415357 PL-A65140273;14;1;;3000;1521;120;80;220-240;;;25000;24;0720;57;65;133;;4603752028405;Luckface International Trading;;E27;Bulb;LED;;;;210;;15.22;50;1473;2989;83;9;83;96;-0.0022;0.1;;;0.1;;1;203;4;;10.11.2020;2232010000;;;;;;130;4.5;03694-polaroid-30415357-pl-a65140273;Bulb 1521Lm 14W 3000K M E27
3695;3695;Polaroid;30415358 PL-A65140274;14;1;;4000;1521;120;80;220-240;;;25000;24;0720;56;65;133;;4603752028412;Luckface International Trading;;E27;Bulb;LED;;;;210;;15.15;50;1638;4047;83.1;7;83;96;0.002;0;;;0;;1;204;4;;10.11.2020;2232010000;;;;;;145;4.5;03695-polaroid-30415358-pl-a65140274;Bulb 1521Lm 14W 4000K M E27
3696;3696;Polaroid;30415348 PL-A60110273;11;1;;3000;1055;90;80;220-240;;;25000;24;0720;34;60;111;;4603752021246;Luckface International Trading;;E27;Bulb;LED;;;;143;;11.85;57;1015;2989;83;9;83;95;-0.0017;0.5;;;0.5;;1;199;4;;10.11.2020;2232010000;;;;;;90;4.5;03696-polaroid-30415348-pl-a60110273;Bulb 1055Lm 11W 3000K M E27
3697;3697;Polaroid;30415349 PL-A60110274;11;1;;4000;1055;90;80;220-240;;;25000;24;0720;33;60;110;;4603752021253;Luckface International Trading;;E27;Bulb;LED;;;;143;;12.04;57;1126;4202;83.9;12;83;96;0.0016;0.4;;;0.4;;1;201;4;;10.11.2020;2232010000;;;;;;95;4.5;03697-polaroid-30415349-pl-a60110274;Bulb 1055Lm 11W 4000K M E27
3698;3698;Polaroid;30415342 PL-A6055273;5.5;1;;3000;470;40;80;220-240;;;25000;24;0720;24;60;108;;4603752028245;Luckface International Trading;;E27;Bulb;LED;;;;107;;6.24;53;551;2959;82.1;7;83;97;0.0009;0.2;;;0.2;;1;196;4;;10.11.2020;2232010000;;;;;;60;4.5;03698-polaroid-30415342-pl-a6055273;Bulb 470Lm 5.5W 3000K M E27
3699;3699;Polaroid;30415342 PL-A6055273;5.5;1;;3000;470;40;80;220-240;;;25000;24;0720;24;60;108;;4603752028245;Luckface International Trading;;E27;Bulb;LED;;;;107;;6.11;52;529;2965;82.2;7;83;97;0.0006;0.2;;;0.2;;1;194;4;;10.11.2020;2232010000;;;;;;55;4.5;03699-polaroid-30415342-pl-a6055273;Bulb 470Lm 5.5W 3000K M E27
3700;3700;Polaroid;30415378 PL-C377143;7;1;;3000;600;60;80;220-240;;;25000;24;0720;21;38;107;;4603752028610;Luckface International Trading;;E14;Candle;LED;;;;150;;7.54;54;634;2921;82.5;8;83;94;-0.0017;0;;;0;;1;192;4;;10.11.2020;2232010000;;;;;;65;4.5;03700-polaroid-30415378-pl-c377143;Candle 600Lm 7W 3000K M E14
3701;3701;Polaroid;30415379 PL-C377144;7;1;;4000;600;60;80;220-240;;;25000;24;0720;21;38;107;;4603752028627;Luckface International Trading;;E14;Candle;LED;;;;150;;7.52;54;602;4020;83.1;9;83;95;0.0035;0;;;0;;1;204;4;;10.11.2020;2232010000;;;;;;65;4.5;03701-polaroid-30415379-pl-c377144;Candle 600Lm 7W 4000K M E14
3702;3702;Polaroid;30415369 PL-C3755143;5.5;1;;3000;470;40;80;220-240;;;25000;24;0720;19;37;100;;4603752028528;Luckface International Trading;;E14;Candle;LED;;;;112;;6.04;54;504;2982;82.3;5;83;96;-0.0007;0.1;;;0.1;;1;204;4;;10.11.2020;2232010000;;;;;;55;4.5;03702-polaroid-30415369-pl-c3755143;Candle 470Lm 5.5W 3000K M E14
3703;3703;Polaroid;30415370 PL-C3755144;5.5;1;;4000;470;40;80;220-240;;;25000;24;0720;19;36;99;;4603752028535;Luckface International Trading;;E14;Candle;LED;;;;112;;6.04;54;520;3954;83;10;83;96;0.0045;0.1;;;0.1;;1;206;4;;10.11.2020;2232010000;;;;;;55;4.5;03703-polaroid-30415370-pl-c3755144;Candle 470Lm 5.5W 4000K M E14
3704;3704;Polaroid;30415415 PL-G933/5;3.5;0;;3000;350;30;80;220-240;;;25000;24;0720;7;20;57;;4603752029044;Luckface International Trading;;G9;Cap;LED;;;;217;;3.85;45;349;3046;83.6;14;82;93;-0.0032;0;;;0;;1;194;4;;10.11.2020;2232010000;;;;;;30;4.5;03704-polaroid-30415415-pl-g933-5;Cap 350Lm 3.5W 3000K G9
3705;3705;Polaroid;30415415 PL-G933/5;3.5;0;;3000;350;30;80;220-240;;;25000;24;0720;7;20;57;;4603752029044;Luckface International Trading;;G9;Cap;LED;;;;217;;3.8;45;341;3029;83.8;15;82;92;-0.0033;0;;;0;;1;192;4;;10.11.2020;2232010000;;;;;;30;4.5;03705-polaroid-30415415-pl-g933-5;Cap 350Lm 3.5W 3000K G9
3706;3706;Geniled;01347 A80 20W 1850lm 2700K E27;20;1;;2700;1850;185;82;150-250;;240;35000;36;0920;71;80;155;;4680389009717;Shenzhen Zesen;;E27;Bulb;LED;;;;304;;18.69;53;1923;2974;82.1;4;84;95;0;0.2;;;0.2;;1;144;1;;05.03.2021;3222010000;;;;;;150;4.5;03706-geniled-01347-a80-20w-1850lm-2700k-e27;Bulb 1850Lm 20W 2700K M E27
3707;3707;Geniled;01346 A80 20W 1900lm 4200K E27;20;1;;4200;1900;190;82;150-250;;240;35000;36;0920;71;80;155;;4680389009694;Shenzhen Zesen;;E27;Bulb;LED;;;;304;;18.39;53;1924;3926;83.9;11;83;94;0.0009;0.1;;;0.1;;1;141;1;;05.03.2021;3222010000;;;;;;150;4.5;03707-geniled-01346-a80-20w-1900lm-4200k-e27;Bulb 1900Lm 20W 4200K M E27
3708;3708;Geniled;01352 A70 16W 1430lm 2700K E27;16;1;;2700;1430;150;82;150-250;;240;35000;36;0920;55;70;137;;4680389013134;Shenzhen Zesen;;E27;Bulb;LED;;;;233;;14.44;52;1585;2971;82.5;6;84;95;-0.0002;0.3;;;0.3;;1;130;1;;05.03.2021;3222010000;;;;;;140;4.5;03708-geniled-01352-a70-16w-1430lm-2700k-e27;Bulb 1430Lm 16W 2700K M E27
3709;3709;Geniled;01351 A70 16W 1500lm 4200K E27;16;1;;4200;1500;150;82;150-250;;240;35000;36;0920;55;70;137;;4680389013127;Shenzhen Zesen;;E27;Bulb;LED;;;;233;;14.26;52;1581;3905;84.3;12;83;94;0.0013;0.3;;;0.3;;1;128;1;;05.03.2021;3222010000;;;;;;140;4.5;03709-geniled-01351-a70-16w-1500lm-4200k-e27;Bulb 1500Lm 16W 4200K M E27
3710;3710;Geniled;01301 A60 12W 1100lm 2700K E27;12;1;;2700;1100;110;82;150-250;;240;35000;36;0920;38;60;117;;4680389002398;Shenzhen Zesen;;E27;Bulb;LED;;;;182;;11.5;53;1219;3011;82.3;5;84;95;-0.0003;0.3;;;0.3;;1;156;1;;05.03.2021;3222010000;гудит;;;;;105;4.5;03710-geniled-01301-a60-12w-1100lm-2700k-e27;Bulb 1100Lm 12W 2700K M E27
